x_km,y_km,z_km,datetime
1121.4756020050875,3173.502375837325,6058.235063640564,2025-06-07 07:50:00+00:00
3136.2288819717787,5505.556334990745,2823.8028795088926,2025-06-07 08:00:00+00:00
3850.3764067636625,5554.477793529881,-1584.6592645386902,2025-06-07 08:10:00+00:00
2969.849883648841,3302.730931686995,-5336.004929305373,2025-06-07 08:20:00+00:00
863.2773542087183,-312.83680080882294,-6880.029823610995,2025-06-07 08:30:00+00:00
-1598.863928108861,-3799.3454233749117,-5581.779099279181,2025-06-07 08:40:00+00:00
-3399.5915595117394,-5715.0168873037155,-1971.8844992662769,2025-06-07 08:50:00+00:00
-3788.9484461046513,-5258.364297287267,2457.5313938376034,2025-06-07 09:00:00+00:00
-2603.2349582243464,-2615.744582167499,5862.856361999278,2025-06-07 09:10:00+00:00
-337.1063469313617,1112.7718938907851,6829.608457281584,2025-06-07 09:20:00+00:00
2068.717282914448,4380.439015723199,4959.750221746605,2025-06-07 09:30:00+00:00
3616.8725715775604,5832.215336477698,1028.8969675047485,2025-06-07 09:40:00+00:00
3665.4151909922784,4865.789983338737,-3330.023522867766,2025-06-07 09:50:00+00:00
2197.7931743916374,1886.3716241394588,-6309.094404665326,2025-06-07 10:00:00+00:00
-176.1101183035959,-1871.2100419759695,-6680.794596057467,2025-06-07 10:10:00+00:00
-2476.910945754209,-4856.594319931939,-4290.84012940863,2025-06-07 10:20:00+00:00
-3751.5431608120653,-5830.512531851677,-120.9053943247671,2025-06-07 10:30:00+00:00
-3467.1566322361623,-4381.607336455175,4098.795989437394,2025-06-07 10:40:00+00:00
-1742.1380430629133,-1111.9310659783062,6611.58528230721,2025-06-07 10:50:00+00:00
705.3234855805059,2619.1762425121665,6376.626551181101,2025-06-07 11:00:00+00:00
2860.4696501869234,5265.109613647377,3493.1551744664275,2025-06-07 11:10:00+00:00
3829.4043012612324,5727.736908194212,-842.4379457744965,2025-06-07 11:20:00+00:00
3211.6970157051405,3817.0008267526596,-4828.827029603194,2025-06-07 11:30:00+00:00
1267.3680885267443,329.26753566176507,-6816.721640525505,2025-06-07 11:40:00+00:00
-1199.1624750714777,-3294.1988708195963,-5988.568177424639,2025-06-07 11:50:00+00:00
-3169.828586135642,-5556.539531223899,-2681.825750205695,2025-06-07 12:00:00+00:00
-3825.219680500952,-5513.663579275961,1739.0649592053285,2025-06-07 12:10:00+00:00
-2890.4119266095904,-3178.6737663539666,5435.083357101563,2025-06-07 12:20:00+00:00
-755.585539388968,476.2782492381669,6869.652954570214,2025-06-07 12:30:00+00:00
1692.396518133906,3934.150783945454,5450.72161454776,2025-06-07 12:40:00+00:00
3438.8204035679437,5761.411915791795,1767.1573480128918,2025-06-07 12:50:00+00:00
3759.2553218821336,5199.540111080753,-2651.2972649240546,2025-06-07 13:00:00+00:00
2523.8611010407985,2485.4780355898974,-5970.684067893391,2025-06-07 13:10:00+00:00
247.2841882390329,-1254.2659516589001,-6821.709819793328,2025-06-07 13:20:00+00:00
-2130.8646126647077,-4476.56062575498,-4853.727473002481,2025-06-07 13:30:00+00:00
-3626.763432046234,-5846.0962056506705,-873.5995526541778,2025-06-07 13:40:00+00:00
-3615.987039323653,-4787.187081708029,3469.537338473466,2025-06-07 13:50:00+00:00
-2102.3850486517094,-1738.5607157646427,6367.404454449834,2025-06-07 14:00:00+00:00
283.30757235921806,2031.55610500818,6618.231015443875,2025-06-07 14:10:00+00:00
2551.582186674475,4960.080256563198,4120.360304847511,2025-06-07 14:20:00+00:00
3761.822357395206,5832.000171774005,-90.10380498069931,2025-06-07 14:30:00+00:00
3412.89537459925,4286.583811736251,-4263.723808551836,2025-06-07 14:40:00+00:00
1653.4295627811568,969.1983593724748,-6671.834268956634,2025-06-07 14:50:00+00:00
-787.5124979372716,-2747.8495205182617,-6323.499283412727,2025-06-07 15:00:00+00:00
-2902.8440832276488,-5330.152828867765,-3359.393704749472,2025-06-07 15:10:00+00:00
-3814.396894995873,-5702.566122795407,999.6150990855384,2025-06-07 15:20:00+00:00
-3140.356173714025,-3704.5529326349274,4941.761921082067,2025-06-07 15:30:00+00:00
-1162.0847831154074,-167.75577062629077,6826.998281572265,2025-06-07 15:40:00+00:00
1297.9018296470629,3438.9089893846717,5876.01211534945,2025-06-07 15:50:00+00:00
3219.927061616107,5620.468136826784,2484.0738648538154,2025-06-07 16:00:00+00:00
3806.6473461372293,5471.238479971748,-1940.7084750820316,2025-06-07 16:10:00+00:00
2817.134420474068,3056.27015188898,-5560.755211770197,2025-06-07 16:20:00+00:00
664.8870188151809,-620.4827495494873,-6880.953439708118,2025-06-07 16:30:00+00:00
-1761.1403002164018,-4041.2822180590583,-5358.240414664963,2025-06-07 16:40:00+00:00
-3458.419516476065,-5790.632635743274,-1615.7054203658342,2025-06-07 16:50:00+00:00
-3719.5599747831507,-5135.655402698264,2798.394164286884,2025-06-07 17:00:00+00:00
-2434.5753062490257,-2345.832795033441,6046.511119120697,2025-06-07 17:10:00+00:00
-139.37218476325077,1417.6872584962873,6780.1621325924325,2025-06-07 17:20:00+00:00
2213.5729893794573,4594.015276018103,4697.8736738654725,2025-06-07 17:30:00+00:00
3648.7460732418667,5865.79069818904,663.2791610931743,2025-06-07 17:40:00+00:00
3571.2289861262166,4705.643132686869,-3647.4473191556044,2025-06-07 17:50:00+00:00
2016.8832385122403,1599.2286202837613,-6447.100923965477,2025-06-07 18:00:00+00:00
-369.01572951756384,-2166.817499680002,-6582.620494846494,2025-06-07 18:10:00+00:00
-2602.1811478456775,-5038.479762018739,-3996.456692079014,2025-06-07 18:20:00+00:00
-3756.925600941284,-5822.598807048144,248.12262024302223,2025-06-07 18:30:00+00:00
-3350.231880286481,-4186.86849739495,4388.825082941184,2025-06-07 18:40:00+00:00
-1551.709493910011,-811.5357691521127,6702.155866236355,2025-06-07 18:50:00+00:00
890.1840289921461,2900.607131827648,6230.527717128559,2025-06-07 19:00:00+00:00
2963.1424264796797,5410.910875692425,3171.0063587940167,2025-06-07 19:10:00+00:00
3807.289115805771,5677.38487699224,-1206.7950095591546,2025-06-07 19:20:00+00:00
3074.23893795119,3591.758012570141,-5084.189262331881,2025-06-07 19:30:00+00:00
1071.6594160258837,22.535186823006573,-6857.84836236812,2025-06-07 19:40:00+00:00
-1372.4278881458533,-3555.929773932067,-5798.380969347156,2025-06-07 19:50:00+00:00
-3248.8866098830026,-5664.6472463715045,-2338.2742209766393,2025-06-07 20:00:00+00:00
-3776.8915193990647,-5422.602690620523,2093.471981117847,2025-06-07 20:10:00+00:00
-2734.814752303432,-2926.308859091268,5652.751627391215,2025-06-07 20:20:00+00:00
-557.5429289815581,784.94825676194,6860.487364498857,2025-06-07 20:30:00+00:00
1850.7794187559352,4171.213849776373,5218.757041059321,2025-06-07 20:40:00+00:00
3491.847763452047,5828.492188823881,1408.6304071779628,2025-06-07 20:50:00+00:00
3685.0172548169576,5068.931474740015,-2987.372707980183,2025-06-07 21:00:00+00:00
2353.4510308602453,2211.7260236314733,-6145.199127865986,2025-06-07 21:10:00+00:00
51.18360695380285,-1558.04602716929,-6762.885398820723,2025-06-07 21:20:00+00:00
-2271.7691414084406,-4684.942047530976,-4585.388661502851,2025-06-07 21:30:00+00:00
-3653.828744994865,-5872.132182927065,-506.32911713735353,2025-06-07 21:40:00+00:00
-3517.712839494635,-4619.616762506544,3782.9313278884442,2025-06-07 21:50:00+00:00
-1919.8006612229688,-1447.2471897094429,6496.619522133461,2025-06-07 22:00:00+00:00
474.3207074681164,2325.672163847946,6510.027596720199,2025-06-07 22:10:00+00:00
2671.8656373135486,5135.111716577865,3819.6819249493396,2025-06-07 22:20:00+00:00
3761.4570057481506,5815.268555329969,-458.38542857295073,2025-06-07 22:30:00+00:00
3292.2573800836967,4085.3498290134785,-4546.666973539825,2025-06-07 22:40:00+00:00
1462.7277424568244,667.0564842142657,-6752.6898011561825,2025-06-07 22:50:00+00:00
-969.6098035339986,-3026.2817789443225,-6168.932390025781,2025-06-07 23:00:00+00:00
-3001.0325941902993,-5469.532311192732,-3032.608211440179,2025-06-07 23:10:00+00:00
-3787.577828506654,-5644.363743261031,1363.2893427466051,2025-06-07 23:20:00+00:00
-2999.6226688998704,-3472.850250878913,5190.851054879289,2025-06-07 23:30:00+00:00
-966.1209745560587,140.96364677436196,6858.249444118294,2025-06-07 23:40:00+00:00
1467.8128561839565,3696.6744329759263,5676.7609185913925,2025-06-07 23:50:00+00:00
3293.3324278417854,5720.359463295654,2136.965424911328,2025-06-08 00:00:00+00:00
3753.1344997444444,5371.85915297311,-2291.411754933292,2025-06-08 00:10:00+00:00
2659.204402674882,2799.242729323117,-5769.721574463369,2025-06-08 00:20:00+00:00
467.96031621822397,-928.8197653848525,-6862.18486795352,2025-06-08 00:30:00+00:00
-1915.870446479,-4273.716139997583,-5119.159170271719,2025-06-08 00:40:00+00:00
-3506.6897416328734,-5850.40253110544,-1254.627875112503,2025-06-08 00:50:00+00:00
-3641.009795334143,-4997.381062759552,3131.3854546840175,2025-06-08 01:00:00+00:00
-2261.9897221999126,-2067.1484242420115,6212.849083176716,2025-06-08 01:10:00+00:00
55.45334251971677,1720.9874062604963,6711.1722042202955,2025-06-08 01:20:00+00:00
2349.898795951671,4796.258092038693,4422.295975385194,2025-06-08 01:30:00+00:00
3670.0003863137645,5883.006135158819,295.5091515003049,2025-06-08 01:40:00+00:00
3468.7634821470665,4530.933670791889,-3954.6044292254273,2025-06-08 01:50:00+00:00
1833.4397397000184,1305.312181746501,-6566.741370312226,2025-06-08 02:00:00+00:00
-557.6997732300557,-2458.654241934389,-6465.516520443892,2025-06-08 02:10:00+00:00
-2718.176947055879,-5207.528511758364,-3690.367258806574,2025-06-08 02:20:00+00:00
-3751.797489620582,-5798.066792432197,616.6723043599522,2025-06-08 02:30:00+00:00
-3225.9729092961356,-3978.706571288568,4666.3591246596525,2025-06-08 02:40:00+00:00
-1360.1722760804128,-506.4860548031532,6773.477039174767,2025-06-08 02:50:00+00:00
1069.499255490522,3176.033616572219,6066.39778052454,2025-06-08 03:00:00+00:00
3055.906577889562,5542.517399611135,2839.507062596803,2025-06-08 03:10:00+00:00
3775.0225919959885,5610.554921453824,-1567.9187254565827,2025-06-08 03:20:00+00:00
2930.6096161568116,3354.603961952874,-5325.136876942588,2025-06-08 03:30:00+00:00
876.268596691654,-286.6799462855343,-6879.36853839073,2025-06-08 03:40:00+00:00
-1539.0239843547822,-3809.680347396691,-5591.414779056197,2025-06-08 03:50:00+00:00
-3317.627970047884,-5757.522213226378,-1987.7463574393853,2025-06-08 04:00:00+00:00
-3718.8910074934743,-5315.402311688798,2442.050520451607,2025-06-08 04:10:00+00:00
