datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target,your_pos_x,your_pos_y,your_pos_z,other_pos_x,other_pos_y,other_pos_z,your_vel_x,your_vel_y,your_vel_z,other_vel_x,other_vel_y,other_vel_z,rel_vel_x,rel_vel_y,rel_vel_z,rel_vel_radial_kms,rel_vel_tangential_kms,angular_velocity_deg_per_sec,azimuth_deg,elevation_deg
2025-06-06 17:00:00+00:00,STARLINK-5064,55428,,48.85,15.064,True,False,-3898.844557821087,-5456.269245708202,1756.203958838905,-3877.5093807818184,-5498.848828612363,1745.3553039537294,0.2902812674607941,2.143387692474376,7.271893547961844,1.143338329045744,-2.993338242463574,-6.863700869119384,0.8530570615849499,-5.13672593493795,-14.13559441708123,7.99,12.771,14.979946,-63.386,-12.832
2025-06-09 16:40:00+00:00,STARLINK-5013,55492,,42.06,13.696,True,False,-2565.4239254643917,-5267.078365117987,-3714.955529606194,-2543.221616206393,-5295.738105074073,-3693.6397862608196,-2.79356846284941,-3.0968276123572487,6.328259121847344,6.777611515199327,-0.9969934025044966,-3.240212156164208,9.571179978048736,2.099834209852752,-9.568471278011552,-1.228,13.641,18.583592,-52.236,30.454
2025-06-07 00:50:00+00:00,STARLINK-5362,55493,,40.56,14.102,True,False,-3330.219416100436,-5623.926940852884,-2322.149013509578,-3335.939216265267,-5608.35227372047,-2359.158582181189,-2.1698924365561223,-1.6307768788730368,7.07933753316871,5.88774371677555,-1.615014669505017,-4.493487035202347,8.057636153331673,0.015762209368019864,-11.572824568371058,9.43,10.485,14.811692,110.166,-65.853
2025-06-06 22:30:00+00:00,STARLINK-5929,55959,,14.65,3.619,False,False,3730.72395824065,5816.0602425664665,645.448878818502,3730.9841872456645,5829.870369020416,650.3323152720084,1.2069139784220253,0.06618172656531512,-7.482006569951825,-1.8416260746346658,1.974815692685004,-7.076747637075784,-3.048540053056691,1.908633966119689,0.4052589328760403,1.88,3.093,12.095847,88.92,19.471
2025-06-07 06:40:00+00:00,STARLINK-5772,56024,,30.17,13.535,False,False,3526.0055388112246,4474.229965468095,-3968.7436622673695,3539.605586845033,4481.382149276918,-3942.7775840714376,-1.7119653503108796,-4.092998136284105,-6.136706773166926,-4.040365915025109,5.725821054270424,2.883093502655962,-2.328400564714229,9.818819190554528,9.019800275822888,9.04,10.073,19.12762,27.74,59.384
2025-06-07 09:20:00+00:00,STARLINK-5561,56337,,37.44,9.382,False,False,-337.1063469313617,1112.7718938907851,6829.608457281584,-373.25224807446637,1122.4302294518877,6831.01412130729,4.186607506597079,6.269313745819258,-0.8097611624650982,7.112513697746956,-2.4990670888200746,0.7952577525166967,2.9259061911498767,-8.768380834639332,1.605018914981795,-5.026,7.922,12.123041,165.04,2.152
2025-06-07 02:50:00+00:00,STARLINK-6050,56458,,42.92,13.035,True,False,-1930.8669357344024,-1406.8406960114617,6502.058862713833,-1904.1999210610852,-1433.2110047385108,6522.937043315445,3.667323513665608,6.179521860736342,2.4248635380324197,3.7748801742127873,-6.558131987232021,-0.34015779259656065,0.10755666054717938,-12.737653847968364,-2.76502133062898,6.547,11.271,15.045021,-44.679,29.105
2025-06-06 02:10:00+00:00,UMKA 1 (RS40S),57172,,36.81,3.076,True,False,627.2555266522064,-668.8717265487039,-6880.267968211471,624.3301790067597,-670.186502276271,-6843.598403174016,-4.275100104387086,-6.240349535433433,0.22051616692215395,-6.407807064550168,-4.059567046129349,-0.17650477817032678,-2.132706960163082,2.180782489304084,-0.39702094509248076,-0.304,3.061,4.764536,-155.799,85.001
2025-06-08 11:00:00+00:00,STARLING 3,57389,,45.9,14.538,False,False,1242.8258735196664,3444.591988166007,5884.6737914145115,1206.8796237600452,3419.840124087192,5898.903102409324,3.859534985551066,5.249094807686208,-3.8763046682197992,0.24493356753648093,-6.583230429192115,3.7581425150357655,-3.614601418014585,-11.832325236878322,7.634447183255565,11.577,8.794,10.975799,-145.449,18.058
2025-06-07 19:20:00+00:00,STARLINK-30310,57733,,48.19,7.077,False,False,3807.289115805771,5677.38487699224,-1206.7950095591546,3829.923720063018,5650.880704757899,-1240.0802799733774,0.09830576740983736,-1.6319715074182717,-7.398481559565004,-5.177197493161989,2.419505034835957,-4.983220692051907,-5.275503260571827,4.051476542254228,2.4152608675130978,-6.374,3.075,3.655263,-49.503,-43.681
2025-06-09 07:50:00+00:00,STARLINK-30442,57868,,29.04,11.455,False,False,2074.7095334400956,4635.0493124390805,4720.997759703044,2101.142693042374,4623.527482000254,4717.547554551566,3.2959723128217693,4.100459607580348,-5.458403744097725,-6.8344380872947585,3.284875510276053,-0.17410559930822306,-10.130410400116528,-0.8155840973042947,5.284298144789502,-9.525,6.363,12.553948,-23.552,-6.823
2025-06-06 01:30:00+00:00,FORMOSAT-7R (TRITON),58017,,49.37,0.052,False,False,1410.4543719198043,3427.6686013080175,5856.419776505723,1391.7298435279886,3450.8441359182607,5895.782150478459,4.058015860717691,5.059181251162399,-3.926477919175576,4.08728333038856,5.025965484472172,-3.8984742870666955,0.02926746967086924,-0.03321576669022708,0.02800363210888035,-0.004,0.052,0.060586,128.936,52.877
2025-06-07 10:00:00+00:00,2024-095A,59810,,40.0,0.045,False,False,2197.7931743916374,1886.3716241394588,-6309.094404665326,2216.452498137424,1896.621440246248,-6275.233580559774,-3.441773847399165,-6.035403674949684,-3.0004472152090944,-3.452811019253357,-6.024496269468728,-3.0424545105166882,-0.011037171854192174,0.010907405480955923,-0.04200729530759384,-0.038,0.024,0.034133,28.781,57.841
2025-06-07 10:10:00+00:00,2024-095A,59810,,21.4,0.032,True,False,-176.1101183035959,-1871.2100419759695,-6680.794596057467,-170.21591899646097,-1858.2279152949302,-6664.83425450701,-4.187652829068699,-6.040961633019548,1.8061023597333667,-4.214916835016493,-6.039063881336669,1.7899337484210054,-0.02726400594779399,0.0018977516828790897,-0.01616861131236136,-0.018,0.026,0.069257,65.581,48.225
