datetime,sat_name,norad_id,country,distance_km,relative_velocity_kms,sunlit,you_between_sun_and_target
2025-06-13 16:40:00+00:00,STARLINK-1066,44954,,97.28,14.627,True,False
2025-06-14 03:50:00+00:00,STARLINK-1066,44954,,61.15,14.649,True,False
2025-06-21 02:30:00+00:00,STARLINK-1066,44954,,30.25,14.256,False,False
2025-06-01 10:10:00+00:00,STARLINK-1080,44961,,31.9,11.97,False,False
2025-05-06 16:10:00+00:00,JILIN-1 KUANFU 01,45016,,37.31,0.502,True,False
2025-05-19 06:50:00+00:00,JILIN-1 KUANFU 01,45016,,86.41,0.474,False,False
2025-05-19 07:40:00+00:00,JILIN-1 KUANFU 01,45016,,75.76,0.484,True,False
2025-05-31 20:00:00+00:00,JILIN-1 KUANFU 01,45016,,79.79,0.446,True,False
2025-06-13 05:50:00+00:00,JILIN-1 KUANFU 01,45016,,76.56,0.435,False,True
2025-04-30 20:40:00+00:00,STARLINK-1168,45072,,78.82,6.724,False,False
2025-06-21 20:00:00+00:00,STARLINK-1179,45085,,59.78,10.862,False,False
2025-05-08 23:50:00+00:00,STARLINK-1176,45090,,62.46,6.981,False,False
2025-05-28 20:40:00+00:00,STARLINK-1146,45094,,59.99,14.041,True,False
2025-05-01 14:20:00+00:00,STARLINK-1147,45095,,76.29,5.79,False,False
2025-05-13 01:20:00+00:00,STARLINK-1152,45096,,97.17,8.834,False,False
2025-05-28 12:30:00+00:00,STARLINK-1201,45182,,83.9,5.741,True,False
2025-05-23 01:20:00+00:00,STARLINK-1269,45197,,98.25,7.997,True,False
2025-05-24 06:10:00+00:00,STARLINK-1199,45201,,49.62,6.299,True,False
2025-06-18 03:50:00+00:00,STARLINK-1199,45201,,78.3,12.685,True,False
2025-04-22 07:30:00+00:00,STARLINK-1191,45222,,45.47,14.663,True,False
2025-04-22 18:40:00+00:00,STARLINK-1191,45222,,58.32,14.651,True,False
2025-04-23 05:50:00+00:00,STARLINK-1191,45222,,74.54,14.632,True,False
2025-04-23 17:00:00+00:00,STARLINK-1191,45222,,86.07,14.608,True,False
2025-04-24 04:10:00+00:00,STARLINK-1191,45222,,89.9,14.577,True,False
2025-04-24 15:20:00+00:00,STARLINK-1191,45222,,86.74,14.54,True,False
2025-04-25 02:30:00+00:00,STARLINK-1191,45222,,84.63,14.497,True,False
2025-05-12 07:20:00+00:00,STARLINK-1215,45225,,22.31,9.45,False,False
2025-06-01 08:30:00+00:00,STARLINK-1217,45226,,56.78,7.511,False,True
2025-05-28 03:00:00+00:00,STARLINK-1247,45236,,39.39,6.159,True,False
2025-05-17 13:40:00+00:00,STARLINK-1279,45360,,80.29,14.615,False,False
2025-05-18 00:50:00+00:00,STARLINK-1279,45360,,65.26,14.586,False,False
2025-05-18 12:00:00+00:00,STARLINK-1279,45360,,83.73,14.55,False,False
2025-04-25 17:10:00+00:00,STARLINK-1306,45362,,49.34,7.499,True,False
2025-04-28 07:30:00+00:00,STARLINK-1273,45367,,54.04,8.558,True,False
2025-05-03 11:20:00+00:00,STARLINK-1304,45376,,35.64,10.703,False,False
2025-05-27 15:30:00+00:00,STARLINK-1258,45381,,61.08,13.204,True,False
2025-05-30 16:10:00+00:00,STARLINK-1274,45387,,91.49,12.291,False,False
2025-04-26 21:10:00+00:00,STARLINK-1312,45398,,82.43,9.487,False,False
2025-06-06 13:30:00+00:00,STARLINK-1260,45404,,79.99,8.815,True,False
2025-04-27 09:10:00+00:00,STARLINK-1265,45406,,77.49,10.483,True,False
2025-06-06 13:30:00+00:00,STARLINK-1265,45406,,61.05,8.821,True,False
2025-05-22 17:20:00+00:00,STARLINK-1298,45413,,40.22,13.936,True,False
2025-06-06 07:10:00+00:00,YAOGAN-30 07A,45460,,85.61,11.812,True,False
2025-06-03 17:00:00+00:00,STARLINK-1325,45554,,92.5,5.789,True,False
2025-05-15 16:00:00+00:00,STARLINK-1336,45557,,30.05,13.462,True,False
2025-05-21 17:20:00+00:00,STARLINK-1357,45565,,81.19,11.551,True,False
2025-06-19 10:10:00+00:00,STARLINK-1321,45573,,81.62,9.692,True,False
2025-06-10 20:50:00+00:00,STARLINK-1331,45578,,60.52,6.381,False,False
2025-06-12 04:00:00+00:00,STARLINK-1335,45581,,99.15,6.788,True,False
2025-06-21 16:40:00+00:00,XINGYUN-2 02,45603,,78.06,8.708,False,False
2025-04-25 10:00:00+00:00,STARLINK-1448,45665,,73.2,13.917,False,False
2025-06-02 13:10:00+00:00,STARLINK-1453,45670,,53.35,6.137,False,False
2025-05-17 17:30:00+00:00,STARLINK-1454,45671,,68.16,11.674,True,False
2025-05-22 01:20:00+00:00,STARLINK-1458,45675,,19.63,9.958,True,False
2025-05-26 06:50:00+00:00,STARLINK-1402,45685,,68.26,7.07,False,False
2025-05-27 11:40:00+00:00,STARLINK-1433,45711,,79.73,5.987,False,False
2025-04-30 17:50:00+00:00,STARLINK-1475,45739,,98.87,10.357,False,False
2025-05-27 11:50:00+00:00,STARLINK-1493,45759,,26.4,14.562,False,False
2025-05-27 23:00:00+00:00,STARLINK-1493,45759,,78.81,14.595,False,False
2025-04-30 18:30:00+00:00,STARLINK-1494,45760,,72.54,6.176,True,False
2025-06-07 23:50:00+00:00,STARLINK-1494,45760,,72.59,13.596,False,False
2025-06-18 05:00:00+00:00,STARLINK-1470,45772,,23.86,8.456,True,False
2025-04-29 05:00:00+00:00,STARLINK-1482,45773,,38.44,6.769,False,False
2025-06-04 19:10:00+00:00,STARLINK-1482,45773,,69.27,13.479,False,False
2025-06-20 03:20:00+00:00,STARLINK-1496,45780,,56.63,7.745,True,False
2025-05-30 03:30:00+00:00,STARLINK-1513,45786,,97.1,14.486,False,False
2025-04-29 11:40:00+00:00,GAOFEN DUOMO (GFDM),45856,,80.93,1.504,True,False
2025-05-26 01:00:00+00:00,GAOFEN DUOMO (GFDM),45856,,79.69,1.51,True,False
2025-06-17 16:50:00+00:00,GAOFEN DUOMO (GFDM),45856,,81.62,1.517,False,False
2025-06-01 10:30:00+00:00,STARLINK-1522,46027,,55.79,10.212,True,False
2025-04-25 10:50:00+00:00,STARLINK-1526,46029,,82.71,10.441,True,False
2025-06-19 18:50:00+00:00,STARLINK-1555,46032,,67.77,6.322,False,False
2025-05-23 15:40:00+00:00,STARLINK-1557,46034,,79.32,13.294,True,False
2025-05-08 12:40:00+00:00,STARLINK-1560,46036,,61.2,14.283,False,False
2025-05-14 21:00:00+00:00,STARLINK-1560,46036,,97.9,14.653,True,False
2025-05-15 08:10:00+00:00,STARLINK-1560,46036,,48.3,14.633,True,False
2025-05-15 19:20:00+00:00,STARLINK-1560,46036,,13.02,14.607,True,False
2025-05-16 06:30:00+00:00,STARLINK-1560,46036,,48.64,14.574,True,False
2025-05-16 17:40:00+00:00,STARLINK-1560,46036,,94.45,14.536,True,False
2025-05-24 10:50:00+00:00,STARLINK-1567,46038,,59.12,13.074,True,False
2025-06-18 11:40:00+00:00,STARLINK-1567,46038,,85.21,6.023,True,False
2025-06-18 03:40:00+00:00,STARLINK-1569,46039,,65.0,5.965,True,False
2025-04-30 21:50:00+00:00,STARLINK-1591,46045,,71.91,12.482,True,False
